"","Species","Family","Wing.span","Overwintering","Voltinism","Host_form","Trophic.range","Adult_feeding","Habitat_3D","meanRGB","Nr_Ahost"
"152","Lomaspilis_marginata","Geometridae",23,3,2,4,2,1,2.5,0.611639035674687,0
"153","Lomographa_bimaculata","Geometridae",25,3,1,4,3,1,2.666667,0.814808214682637,0
"154","Lomographa_temerata","Geometridae",27,3,2,4,3,1,2.5,0.792600075300488,1
"155","Luperina_testacea","Noctuidae",33,2,1,2,2,1,1,0.55159921678397,NA
"156","Macaria_alternata","Geometridae",25,3,2,4,3,1,2.5,0.602913516717076,2
"157","Macaria_brunneata","Geometridae",23,1,1,3,2,1,2.666667,0.511311928252769,3
"158","Macaria_liturata","Geometridae",28,2,2,4,2,1,2.5,0.569037343676436,3
"159","Macaria_signaria","Geometridae",27,2,1,4,2,1,2.5,0.630156303511426,NA
"160","Macdunnoughia_confusa","Noctuidae",31,2,2,1,3,1,1.909090909,0.421477831639712,26
"161","Mamestra_brassicae","Noctuidae",42,3,2,1,3,1,2,0.401826465169634,4
"162","Martania_taeniata","Geometridae",22,2,1,5,1,1,2.5,0.630540332993356,NA
"163","Melanchra_persicariae","Noctuidae",39,3,1,1,3,1,2,0.408031082892234,2
"164","Melanthia_procellata","Geometridae",34,3,2,3,1,1,2.5,0.678879257845581,2
"165","Mesapamea_didyma","Noctuidae",31,2,1,2,2,1,1.5,0.437707957232326,NA
"166","Mesapamea_secalis","Noctuidae",31,2,1,2,2,1,1.5,0.397690109470906,NA
"167","Mesoleuca_albicillata","Geometridae",28,3,1,3,1,1,2.5,0.691618543439527,2
"168","Mesoligia_furuncula","Noctuidae",21,2,1,2,2,1,1.5,0.544464780482662,7
"169","Mesotype_didymata","Geometridae",21,1,1,3,3,1,2.5,0.669358492917787,1
"170","Mesotype_verberata","Geometridae",24,1,1,1,3,1,2.5,0.769336122289107,3
"171","Mniotype_adusta","Noctuidae",39,2,1,3,3,1,2.666667,0.444460407363179,NA
"172","Mniotype_satura","Noctuidae",42,1,1,3,3,1,2.5,0.363710850723417,1
"173","Moma_alpium","Noctuidae",35,3,1,4,3,1,3,0.529178978975602,0
"175","Mythimna_andereggii","Noctuidae",30,NA,NA,NA,NA,NA,NA,0.525272865169985,NA
"176","Mythimna_conigera","Noctuidae",35,2,1,2,2,1,1.5,0.495492472745143,13
"177","Mythimna_ferrago","Noctuidae",36,2,1,2,2,1,1.5,0.492647825037464,7
"178","Mythimna_impura","Noctuidae",32,2,2,2,2,1,2,0.535657800991559,7
"180","Naenia_typica","Noctuidae",36,2,1,3,3,1,2.5,0.424893804488049,2
"181","Noctua_comes","Noctuidae",42,2,1,3,3,1,2.5,0.41855559608029,6
"182","Noctua_fimbriata","Noctuidae",54,2,1,3,3,1,2.5,0.4463791404264,1
"183","Noctua_interjecta","Noctuidae",35,2,1,3,3,1,1.5,0.426408446076265,NA
"184","Noctua_interposita","Noctuidae",43,2,1,2,3,1,1.5,0.408902683833994,NA
"185","Noctua_janthe","Noctuidae",38,2,1,3,3,1,2.5,0.399578768730276,0
"186","Noctua_janthina","Noctuidae",38,2,1,3,3,1,2.5,0.342723641534165,2
"187","Noctua_orbona","Noctuidae",41,2,1,2,3,1,2.5,0.378146497171536,1
"188","Noctua_pronuba","Noctuidae",55,2,1,3,3,1,1.5,0.427697180949459,13
"189","Ochropleura_plecta","Noctuidae",28,3,2,2,3,1,2,0.553228478116846,4
"190","Odontopera_bidentata","Geometridae",43,3,1,4,3,1,3,0.568871296018247,NA
"191","Oligia_latruncula","Noctuidae",23,2,1,2,2,1,1.909090909,0.389876752914298,0
"192","Oligia_strigilis","Noctuidae",26,2,1,2,2,1,1.5,0.448051681860816,1
"193","Oligia_versicolor","Noctuidae",25,2,1,2,3,1,1.75,0.455778838645912,2
"194","Opigena_polygona","Noctuidae",39,2,1,1,3,1,1,0.480329625555075,NA
"195","Opisthograptis_luteolata","Geometridae",34,3,1,3,2,1,2.5,0.678066764913066,2
"197","Panthea_coenobita","Noctuidae",42,3,1,4,2,1,3,0.529973682280699,0
"198","Papestra_biren","Noctuidae",35,3,1,4,3,1,2.5,0.436077463994046,0
"199","Parectropis_similaria","Geometridae",32,3,1,4,3,1,3,0.452897575340611,0
"200","Pasiphila_debiliata","Geometridae",18,1,1,4,1,1,2.5,0.585147139588555,1
"201","Pasiphila_rectangulata","Geometridae",19,1,1,4,1,1,2,0.487574149029083,1
"202","Peribatodes_rhomboidaria","Geometridae",34,2.5,2,3,3,1,2.5,0.46701015851055,2
"203","Peribatodes_secundaria","Geometridae",30,2,1,4,2,1,2,0.467028665819751,1
"204","Perizoma_albulata","Geometridae",19,3,2,1,1,1,1.75,0.739703662159988,1
"205","Perizoma_alchemillata","Geometridae",18,3,2,1,2,1,2.5,0.591486248500043,1
"206","Perizoma_hydrata","Geometridae",21,3,1,1,2,1,2,0.626692764137088,0
"207","Petrophora_chlorosata","Geometridae",29,3,1,1,1,1,2.5,0.653253397250732,0
"208","Philereme_transversata","Geometridae",34,1,1,3,1,1,2,0.475092672510701,0
"209","Philereme_vetulata","Geometridae",27,1,1,3,1,1,2.5,0.584102800472889,0
"210","Phlogophora_meticulosa","Noctuidae",48,3,2,4,3,1,2.5,0.552293941606803,4
"211","Phlogophora_scita","Noctuidae",39,2,1,4,3,1,3,0.627575414162141,3
"212","Plagodis_dolabraria","Geometridae",30,3,1,4,3,1,3,0.633891557203408,0
"213","Plagodis_pulveraria","Geometridae",29,3,2,4,3,1,2.5,0.542921831366623,3
"214","Polia_bombycina","Noctuidae",51,2,1,3,3,1,1.5,0.434667753059608,1
"215","Polia_hepatica","Noctuidae",48,2,1,4,3,1,2.5,0.483505607505483,0
"216","Polia_nebulosa","Noctuidae",50,2,1,3,3,1,2.5,0.492313446660115,1
"217","Polychrysia_moneta","Noctuidae",35,2,2,1,2,1,2.5,0.501662861384693,2
"218","Protodeltote_pygarga","Noctuidae",29,3,1,2,2,1,2.5,0.501998209064526,NA
"219","Pseudopanthera_macularia","Geometridae",27,3,1,1,3,1,2,0.53265252752971,25
"220","Pungeleria_capreolaria","Geometridae",28,2,1,4,1,1,3,0.566152237785532,1
"221","Pyrrhia_umbra","Noctuidae",30,3,2,1,3,1,1,0.485263203523597,3
"222","Rheumaptera_undulata","Geometridae",33,3,1,4,3,1,2.666667,0.592327132170903,0
"223","Scopula_floslactata","Geometridae",27,2,1,4,3,1,2.5,0.803473537603803,NA
"224","Scopula_immutata","Geometridae",22,2,1,2,3,1,2,0.820333107964125,2
"225","Scopula_marginepunctata","Geometridae",22,2,2,1,3,1,1.5,0.696420502427131,0
"226","Scopula_nigropunctata","Geometridae",27,2,1,3,3,1,2.5,0.736019917713178,1
"227","Scopula_ternata","Geometridae",25,2,1,3,3,1,2.666667,0.770853138683384,0
"228","Scotopteryx_chenopodiata","Geometridae",31,2,1,1,3,1,2,0.548698599903712,15
"229","Selenia_dentaria","Geometridae",36,3,2,4,3,1,2.5,0.6235228454319,0
"230","Selenia_lunularia","Geometridae",36,3,2,4,3,1,2.5,0.639811431871866,0
"231","Selenia_tetralunaria","Geometridae",29,3,2,4,3,1,2.5,0.541135762402254,0
"232","Shargacucullia_scrophulariae","Noctuidae",40,3,1,1,1,1,2,0.487550787985763,1
"233","Sideridis_rivularis","Noctuidae",32,3,1,1,1,1,1.5,0.455424402527539,4
"234","Spargania_luctuata","Geometridae",26,3,2,1,1,1,2.5,0.534794600128716,1
"235","Stegania_cararia","Geometridae",21,3,1,4,1,1,2.5,0.545136983226733,0
"236","Syngrapha_interrogationis","Noctuidae",33,2,1,2,2,1,2.25,0.442811141801174,0
"237","Thera_britannica","Geometridae",28,2,2,4,2,1,3,0.689108688433803,0
"238","Thera_obeliscata","Geometridae",27,2,2,4,2,1,2.5,0.673091169311056,0
"239","Thera_variata","Geometridae",25,2,2,4,2,1,3,0.617548455916091,1
"240","Thera_vetustata","Geometridae",23,2,2,4,1,1,3,0.685594255026342,0
"241","Timandra_comae","Geometridae",29,2.5,2,1,1,1,2.666667,0.672336372695205,4
"242","Trachea_atriplicis","Noctuidae",44,3,2,1,3,1,2,0.395603982032885,0
"243","Triphosa_dubitata","Geometridae",40,4,1,3,2,1,2.5,0.604602316888461,2
"244","Venusia_blomeri","Geometridae",21,3,2,4,1,1,3,0.680923709976782,0
"245","Venusia_cambrica","Geometridae",26,3,1,4,1,1,2.5,0.691816654261106,NA
"246","Xanthorhoe_biriviata","Geometridae",25,3,2,1,1,1,2.5,0.648989819649442,6
"247","Xanthorhoe_designata","Geometridae",23,3,2,1,2,1,2.666667,0.659133266615587,0
"248","Xanthorhoe_ferrugata","Geometridae",22,3,2,1,3,1,2.666667,0.607688623463845,0
"249","Xanthorhoe_fluctuata","Geometridae",24,3,2,1,2,1,2.5,0.675210931107456,1
"250","Xanthorhoe_incursata","Geometridae",25,3,2,3,1,1,2.5,0.708154261681348,NA
"251","Xanthorhoe_montanata","Geometridae",28,2,1,3,3,1,2.666667,0.766954861523246,1
"252","Xanthorhoe_quadrifasiata","Geometridae",27,2,2,3,3,1,2.666667,0.544989664170576,NA
"253","Xanthorhoe_spadicearia","Geometridae",23,3,2,3,3,1,2.5,0.618857285178844,NA
"254","Xestia_baja","Noctuidae",39,2,1,3,3,1,2,0.436740661743654,8
"255","Xestia_c_nigrum","Noctuidae",38,2,2,1,3,1,2,0.505329475923164,14
"256","Xestia_collina","Noctuidae",32,2,1,3,3,1,2.5,0.467348821937912,1
"257","Xestia_ditrapezium","Noctuidae",42,2,1,3,3,1,2.5,0.479420255506881,1
"258","Xestia_sexstrigata","Noctuidae",36,2,1,2,3,1,2.666667,0.478489422715392,NA
"259","Xestia_speciosa","Noctuidae",46,2,1,3,3,1,2.5,0.540117271437339,0
"260","Xestia_stigmatica","Noctuidae",41,2,1,3,3,1,2.5,0.385159369507041,5
"261","Xestia_triangulum","Noctuidae",43,2,1,3,3,1,2.5,0.48815928472227,2
